method,n_features,macro_f1,vocab_size
baseline,302,0.2736111111111111,302
chi2,50,0.21527777777777776,50
chi2,100,0.2222222222222222,100
chi2,200,0.20714285714285716,200
chi2,300,0.2736111111111111,300
mutual_info,50,0.1638888888888889,50
mutual_info,100,0.19444444444444442,100
mutual_info,200,0.05847338935574229,200
mutual_info,300,0.2736111111111111,300
lsa,50,0.14444444444444443,50
lsa,100,0.2736111111111111,100
lsa,200,0.2736111111111111,200
lsa,300,0.2736111111111111,300
